# Time-averaged data for fix aveE
# TimeStep v_varbias
4950000 -0.464355
4960000 -0.466186
4970000 -0.468004
4980000 -0.469811
4990000 -0.471606
5000000 -0.473389
5010000 -0.475161
5020000 -0.47692
5030000 -0.478668
5040000 -0.480404
5050000 -0.482128
5060000 -0.483839
5070000 -0.485539
5080000 -0.487226
5090000 -0.488901
5100000 -0.490564
5110000 -0.492215
5120000 -0.493854
5130000 -0.49548
5140000 -0.497093
5150000 -0.498695
5160000 -0.500283
5170000 -0.50186
5180000 -0.503423
5190000 -0.504975
5200000 -0.506513
5210000 -0.508039
5220000 -0.509552
5230000 -0.511053
5240000 -0.51254
5250000 -0.514015
5260000 -0.515477
5270000 -0.516926
5280000 -0.518362
5290000 -0.519786
5300000 -0.521196
5310000 -0.522593
5320000 -0.523977
5330000 -0.525348
5340000 -0.526706
5350000 -0.528051
5360000 -0.529383
5370000 -0.530701
5380000 -0.532006
5390000 -0.533298
5400000 -0.534576
5410000 -0.535841
5420000 -0.537093
5430000 -0.538331
5440000 -0.539556
5450000 -0.540767
5460000 -0.541965
5470000 -0.543149
5480000 -0.54432
5490000 -0.545477
5500000 -0.54662
5510000 -0.54775
5520000 -0.548866
5530000 -0.549968
5540000 -0.551057
5550000 -0.552131
5560000 -0.553192
5570000 -0.554239
5580000 -0.555273
5590000 -0.556292
5600000 -0.557298
5610000 -0.558289
5620000 -0.559267
5630000 -0.56023
5640000 -0.56118
5650000 -0.562116
5660000 -0.563037
5670000 -0.563945
5680000 -0.564838
5690000 -0.565717
5700000 -0.566582
5710000 -0.567433
5720000 -0.56827
5730000 -0.569092
5740000 -0.569901
5750000 -0.570695
5760000 -0.571475
5770000 -0.57224
5780000 -0.572991
5790000 -0.573728
5800000 -0.574451
5810000 -0.575159
5820000 -0.575853
5830000 -0.576532
5840000 -0.577197
5850000 -0.577848
5860000 -0.578484
5870000 -0.579105
5880000 -0.579713
5890000 -0.580305
5900000 -0.580883
5910000 -0.581447
5920000 -0.581996
5930000 -0.582531
5940000 -0.583051
5950000 -0.583556
5960000 -0.584047
5970000 -0.584523
5980000 -0.584985
5990000 -0.585432
6000000 -0.585864
6010000 -0.586282
6020000 -0.586685
6030000 -0.587073
6040000 -0.587447
6050000 -0.587806
6060000 -0.588151
6070000 -0.58848
6080000 -0.588795
6090000 -0.589095
6100000 -0.589381
6110000 -0.589651
6120000 -0.589907
6130000 -0.590149
6140000 -0.590375
6150000 -0.590587
6160000 -0.590784
6170000 -0.590966
6180000 -0.591134
6190000 -0.591286
6200000 -0.591424
6210000 -0.591547
6220000 -0.591655
6230000 -0.591749
6240000 -0.591828
6250000 -0.591891
6260000 -0.591941
6270000 -0.591975
6280000 -0.591994
6290000 -0.591999
6300000 -0.591989
6310000 -0.591964
6320000 -0.591924
6330000 -0.59187
6340000 -0.591801
6350000 -0.591717
6360000 -0.591618
6370000 -0.591504
6380000 -0.591376
6390000 -0.591232
6400000 -0.591074
6410000 -0.590902
6420000 -0.590714
6430000 -0.590512
6440000 -0.590295
6450000 -0.590063
6460000 -0.589816
6470000 -0.589555
6480000 -0.589279
6490000 -0.588988
6500000 -0.588682
6510000 -0.588362
6520000 -0.588027
6530000 -0.587678
6540000 -0.587313
6550000 -0.586934
6560000 -0.58654
6570000 -0.586132
6580000 -0.585709
6590000 -0.585271
6600000 -0.584819
6610000 -0.584352
6620000 -0.583871
6630000 -0.583374
6640000 -0.582864
6650000 -0.582338
6660000 -0.581799
6670000 -0.581244
6680000 -0.580675
6690000 -0.580092
6700000 -0.579494
6710000 -0.578881
6720000 -0.578255
6730000 -0.577613
6740000 -0.576957
6750000 -0.576287
6760000 -0.575603
6770000 -0.574904
6780000 -0.57419
6790000 -0.573462
6800000 -0.57272
6810000 -0.571964
6820000 -0.571193
6830000 -0.570408
6840000 -0.569609
6850000 -0.568796
6860000 -0.567968
6870000 -0.567126
6880000 -0.56627
6890000 -0.5654
6900000 -0.564515
6910000 -0.563617
6920000 -0.562704
6930000 -0.561778
6940000 -0.560837
6950000 -0.559882
6960000 -0.558913
6970000 -0.557931
6980000 -0.556934
6990000 -0.555924
7000000 -0.554899
7010000 -0.553861
7020000 -0.552809
7030000 -0.551743
7040000 -0.550663
7050000 -0.549569
7060000 -0.548462
7070000 -0.547341
7080000 -0.546206
7090000 -0.545058
7100000 -0.543896
7110000 -0.542721
7120000 -0.541531
7130000 -0.540329
7140000 -0.539113
7150000 -0.537883
7160000 -0.53664
7170000 -0.535383
7180000 -0.534113
7190000 -0.53283
7200000 -0.531534
7210000 -0.530224
7220000 -0.528901
7230000 -0.527564
7240000 -0.526215
7250000 -0.524852
7260000 -0.523476
7270000 -0.522087
7280000 -0.520685
7290000 -0.519271
7300000 -0.517843
7310000 -0.516402
7320000 -0.514948
7330000 -0.513481
7340000 -0.512002
7350000 -0.510509
7360000 -0.509004
7370000 -0.507487
7380000 -0.505956
7390000 -0.504413
7400000 -0.502857
7410000 -0.501289
7420000 -0.499708
7430000 -0.498115
7440000 -0.496509
7450000 -0.494891
7460000 -0.49326
7470000 -0.491617
7480000 -0.489962
7490000 -0.488295
7500000 -0.486615
7510000 -0.484923
7520000 -0.483219
7530000 -0.481503
7540000 -0.479775
7550000 -0.478035
7560000 -0.476283
7570000 -0.474519
7580000 -0.472743
7590000 -0.470956
7600000 -0.469156
7610000 -0.467345
7620000 -0.465523
7630000 -0.463688
7640000 -0.461842
7650000 -0.459985
7660000 -0.458115
7670000 -0.456235
7680000 -0.454343
7690000 -0.45244
7700000 -0.450525
7710000 -0.448599
7720000 -0.446662
7730000 -0.444714
7740000 -0.442755
7750000 -0.440784
7760000 -0.438803
7770000 -0.43681
7780000 -0.434807
7790000 -0.432793
7800000 -0.430768
7810000 -0.428732
7820000 -0.426686
7830000 -0.424628
7840000 -0.422561
7850000 -0.420482
7860000 -0.418393
7870000 -0.416294
7880000 -0.414184
7890000 -0.412064
7900000 -0.409934
7910000 -0.407793
7920000 -0.405642
7930000 -0.403482
7940000 -0.40131
7950000 -0.399129
7960000 -0.396938
7970000 -0.394737
7980000 -0.392526
7990000 -0.390306
8000000 -0.388075
8010000 -0.385835
8020000 -0.383585
8030000 -0.381326
8040000 -0.379057
8050000 -0.376779
8060000 -0.374491
8070000 -0.372194
8080000 -0.369887
8090000 -0.367572
8100000 -0.365247
8110000 -0.362913
8120000 -0.36057
8130000 -0.358218
8140000 -0.355856
8150000 -0.353486
8160000 -0.351108
8170000 -0.34872
8180000 -0.346324
8190000 -0.343919
8200000 -0.341505
8210000 -0.339083
8220000 -0.336653
8230000 -0.334214
8240000 -0.331766
8250000 -0.329311
8260000 -0.326847
8270000 -0.324375
8280000 -0.321895
8290000 -0.319406
8300000 -0.31691
8310000 -0.314406
8320000 -0.311894
8330000 -0.309374
8340000 -0.306847
8350000 -0.304312
8360000 -0.301769
8370000 -0.299219
8380000 -0.296661
8390000 -0.294096
8400000 -0.291523
8410000 -0.288943
8420000 -0.286356
8430000 -0.283762
8440000 -0.28116
8450000 -0.278552
8460000 -0.275937
8470000 -0.273315
8480000 -0.270685
8490000 -0.26805
8500000 -0.265407
8510000 -0.262758
8520000 -0.260102
8530000 -0.25744
8540000 -0.254771
8550000 -0.252096
8560000 -0.249415
8570000 -0.246727
8580000 -0.244034
8590000 -0.241334
8600000 -0.238628
8610000 -0.235916
8620000 -0.233198
8630000 -0.230475
8640000 -0.227745
8650000 -0.22501
8660000 -0.22227
8670000 -0.219524
8680000 -0.216772
8690000 -0.214015
8700000 -0.211252
8710000 -0.208484
8720000 -0.205712
8730000 -0.202933
8740000 -0.20015
8750000 -0.197362
8760000 -0.194569
8770000 -0.191771
8780000 -0.188968
8790000 -0.186161
8800000 -0.183349
8810000 -0.180532
8820000 -0.177711
8830000 -0.174885
8840000 -0.172055
8850000 -0.16922
8860000 -0.166382
8870000 -0.163539
8880000 -0.160692
8890000 -0.157841
8900000 -0.154987
8910000 -0.152128
8920000 -0.149265
8930000 -0.146399
8940000 -0.143529
8950000 -0.140656
8960000 -0.137779
8970000 -0.134898
8980000 -0.132015
8990000 -0.129128
9000000 -0.126237
9010000 -0.123344
9020000 -0.120447
9030000 -0.117548
9040000 -0.114645
9050000 -0.11174
9060000 -0.108831
9070000 -0.105921
9080000 -0.103007
9090000 -0.100091
9100000 -0.0971723
9110000 -0.0942512
9120000 -0.0913278
9130000 -0.0884021
9140000 -0.0854742
9150000 -0.0825442
9160000 -0.0796121
9170000 -0.076678
9180000 -0.073742
9190000 -0.0708042
9200000 -0.0678645
9210000 -0.0649232
9220000 -0.0619803
9230000 -0.0590358
9240000 -0.0560898
9250000 -0.0531424
9260000 -0.0501937
9270000 -0.0472438
9280000 -0.0442927
9290000 -0.0413404
9300000 -0.0383871
9310000 -0.0354329
9320000 -0.0324778
9330000 -0.0295218
9340000 -0.0265652
9350000 -0.0236078
9360000 -0.0206499
9370000 -0.0176915
9380000 -0.0147326
9390000 -0.0117733
9400000 -0.00881379
9410000 -0.00585403
9420000 -0.00289411
9430000 6.58715e-05
9440000 0.00302586
9450000 0.00598576
9460000 0.00894552
9470000 0.0119051
9480000 0.0148643
9490000 0.0178232
9500000 0.0207816
9510000 0.0237395
9520000 0.0266968
9530000 0.0296534
9540000 0.0326093
9550000 0.0355644
9560000 0.0385186
9570000 0.0414718
9580000 0.044424
9590000 0.0473751
9600000 0.050325
9610000 0.0532737
9620000 0.056221
9630000 0.0591669
9640000 0.0621113
9650000 0.0650542
9660000 0.0679954
9670000 0.070935
9680000 0.0738727
9690000 0.0768086
9700000 0.0797427
9710000 0.0826747
9720000 0.0856046
9730000 0.0885324
9740000 0.091458
9750000 0.0943813
9760000 0.0973023
9770000 0.100221
9780000 0.103137
9790000 0.10605
9800000 0.108961
9810000 0.111869
9820000 0.114774
9830000 0.117677
9840000 0.120576
9850000 0.123473
9860000 0.126366
9870000 0.129256
9880000 0.132143
9890000 0.135027
