# Time-averaged data for fix aveIp
# TimeStep c_Ip
4850000 -0.281798
4860000 -0.283265
4870000 -0.285483
4880000 -0.286436
4890000 -0.288477
4900000 -0.290285
4910000 -0.291676
4920000 -0.293444
4930000 -0.294909
4940000 -0.296698
4950000 -0.297696
4960000 -0.299138
4970000 -0.30122
4980000 -0.302568
4990000 -0.303477
5000000 -0.305532
5010000 -0.306623
5020000 -0.307954
5030000 -0.309113
5040000 -0.310843
5050000 -0.311954
5060000 -0.313298
5070000 -0.315139
5080000 -0.315815
5090000 -0.31802
5100000 -0.318927
5110000 -0.32067
5120000 -0.322089
5130000 -0.32329
5140000 -0.324908
5150000 -0.325811
5160000 -0.327181
5170000 -0.328406
5180000 -0.329152
5190000 -0.330883
5200000 -0.331825
5210000 -0.333098
5220000 -0.333847
5230000 -0.335736
5240000 -0.337126
5250000 -0.337658
5260000 -0.338843
5270000 -0.340311
5280000 -0.341359
5290000 -0.342213
5300000 -0.343239
5310000 -0.344274
5320000 -0.345274
5330000 -0.346446
5340000 -0.347179
5350000 -0.348533
5360000 -0.349713
5370000 -0.350628
5380000 -0.351258
5390000 -0.352507
5400000 -0.353225
5410000 -0.354048
5420000 -0.355202
5430000 -0.357021
5440000 -0.357382
5450000 -0.357919
5460000 -0.359169
5470000 -0.359783
5480000 -0.36093
5490000 -0.3613
5500000 -0.362485
5510000 -0.363325
5520000 -0.364348
5530000 -0.365065
5540000 -0.365686
5550000 -0.3667
5560000 -0.367096
5570000 -0.368059
5580000 -0.369149
5590000 -0.369966
5600000 -0.37008
5610000 -0.370952
5620000 -0.371891
5630000 -0.373181
5640000 -0.373623
5650000 -0.37435
5660000 -0.374936
5670000 -0.375847
5680000 -0.376232
5690000 -0.377099
5700000 -0.377469
5710000 -0.37826
5720000 -0.378934
5730000 -0.379576
5740000 -0.38012
5750000 -0.38069
5760000 -0.381401
5770000 -0.381549
5780000 -0.381807
5790000 -0.382623
5800000 -0.383102
5810000 -0.383278
5820000 -0.383772
5830000 -0.384181
5840000 -0.385171
5850000 -0.38552
5860000 -0.386378
5870000 -0.386647
5880000 -0.387158
5890000 -0.38731
5900000 -0.387938
5910000 -0.388258
5920000 -0.38834
5930000 -0.388841
5940000 -0.388989
5950000 -0.389853
5960000 -0.390145
5970000 -0.390482
5980000 -0.390625
5990000 -0.39107
6000000 -0.391636
6010000 -0.391978
6020000 -0.392165
6030000 -0.392472
6040000 -0.392811
6050000 -0.392684
6060000 -0.393432
6070000 -0.393024
6080000 -0.39324
6090000 -0.393568
6100000 -0.393646
6110000 -0.393918
6120000 -0.394001
6130000 -0.394574
6140000 -0.394762
6150000 -0.394258
6160000 -0.394246
6170000 -0.394805
6180000 -0.394826
6190000 -0.394818
6200000 -0.394798
6210000 -0.394845
6220000 -0.394606
6230000 -0.394726
6240000 -0.395416
6250000 -0.394905
6260000 -0.394977
6270000 -0.394988
6280000 -0.395136
6290000 -0.394877
6300000 -0.394654
6310000 -0.394719
6320000 -0.394994
6330000 -0.394401
6340000 -0.394652
6350000 -0.394345
6360000 -0.394323
6370000 -0.393794
6380000 -0.393727
6390000 -0.393762
6400000 -0.3937
6410000 -0.393553
6420000 -0.39324
6430000 -0.392838
6440000 -0.392677
6450000 -0.392887
6460000 -0.393174
6470000 -0.393065
6480000 -0.392225
6490000 -0.391957
6500000 -0.391775
6510000 -0.391195
6520000 -0.390893
6530000 -0.391066
6540000 -0.390684
6550000 -0.390592
6560000 -0.390623
6570000 -0.389694
6580000 -0.389089
6590000 -0.38906
6600000 -0.388637
6610000 -0.387739
6620000 -0.387395
6630000 -0.387098
6640000 -0.386523
6650000 -0.38578
6660000 -0.385573
6670000 -0.38555
6680000 -0.385114
6690000 -0.384774
6700000 -0.384193
6710000 -0.383658
6720000 -0.382703
6730000 -0.382145
6740000 -0.382075
6750000 -0.381645
6760000 -0.380703
6770000 -0.380665
6780000 -0.379961
6790000 -0.379806
6800000 -0.37938
