# Time-averaged data for fix aveIm
# TimeStep c_Im
5090000 0.318008
5100000 0.318864
5110000 0.320632
5120000 0.322237
5130000 0.323287
5140000 0.324724
5150000 0.325684
5160000 0.326879
5170000 0.328308
5180000 0.329162
5190000 0.330664
5200000 0.331565
5210000 0.333106
5220000 0.334081
5230000 0.335733
5240000 0.3368
5250000 0.337645
5260000 0.338904
5270000 0.340081
5280000 0.341545
5290000 0.342393
5300000 0.343569
5310000 0.344424
5320000 0.345149
5330000 0.346459
5340000 0.347307
5350000 0.348577
5360000 0.349649
5370000 0.35071
5380000 0.351499
5390000 0.352544
5400000 0.353466
5410000 0.35407
5420000 0.355228
5430000 0.356911
5440000 0.357121
5450000 0.358104
5460000 0.359119
5470000 0.359812
5480000 0.360971
5490000 0.361272
5500000 0.362226
5510000 0.363573
5520000 0.364728
5530000 0.365157
5540000 0.365553
5550000 0.366584
5560000 0.367234
5570000 0.36796
5580000 0.368991
5590000 0.369934
5600000 0.370468
5610000 0.370981
5620000 0.371913
5630000 0.373239
5640000 0.373856
5650000 0.37449
5660000 0.374829
5670000 0.376113
5680000 0.376517
5690000 0.376866
5700000 0.377379
5710000 0.378166
5720000 0.378816
5730000 0.379487
5740000 0.380085
5750000 0.38074
5760000 0.381236
5770000 0.381218
5780000 0.381822
5790000 0.382631
5800000 0.38322
5810000 0.383071
5820000 0.383877
5830000 0.384643
5840000 0.384818
5850000 0.385666
5860000 0.386443
5870000 0.386604
5880000 0.38722
5890000 0.38719
5900000 0.388099
5910000 0.388259
5920000 0.388308
5930000 0.388739
5940000 0.389044
5950000 0.389958
5960000 0.390261
5970000 0.390751
5980000 0.39073
5990000 0.390827
6000000 0.391397
6010000 0.39176
6020000 0.391876
6030000 0.392191
6040000 0.392975
6050000 0.392557
6060000 0.393298
6070000 0.393353
6080000 0.393363
6090000 0.393229
6100000 0.393572
6110000 0.394002
6120000 0.394171
6130000 0.394393
6140000 0.394439
6150000 0.39449
6160000 0.3947
6170000 0.394784
6180000 0.394515
6190000 0.394725
6200000 0.394753
6210000 0.394729
6220000 0.394805
6230000 0.394952
6240000 0.395147
6250000 0.395025
6260000 0.395145
6270000 0.395188
6280000 0.395151
6290000 0.394935
6300000 0.39483
6310000 0.394949
6320000 0.394799
6330000 0.39459
6340000 0.394519
6350000 0.394259
6360000 0.393938
6370000 0.393925
6380000 0.393741
6390000 0.393885
6400000 0.393467
6410000 0.393556
6420000 0.393266
6430000 0.39292
6440000 0.392732
6450000 0.392632
6460000 0.392878
6470000 0.392819
6480000 0.392387
6490000 0.392258
6500000 0.391833
6510000 0.391572
6520000 0.390862
6530000 0.390733
6540000 0.390572
6550000 0.390546
6560000 0.390411
6570000 0.389865
6580000 0.388885
6590000 0.388946
6600000 0.388603
6610000 0.387778
6620000 0.38757
6630000 0.386882
6640000 0.386508
6650000 0.385867
6660000 0.385749
6670000 0.385628
6680000 0.38516
6690000 0.38454
6700000 0.384072
6710000 0.383595
6720000 0.383047
6730000 0.382001
6740000 0.382322
6750000 0.381542
6760000 0.380991
6770000 0.380354
6780000 0.380011
6790000 0.379354
6800000 0.379163
6810000 0.378379
6820000 0.37818
6830000 0.377399
6840000 0.376976
6850000 0.376578
6860000 0.375692
6870000 0.375478
6880000 0.374323
6890000 0.373912
6900000 0.373187
6910000 0.372885
6920000 0.372346
6930000 0.371604
6940000 0.370622
6950000 0.370655
6960000 0.369366
6970000 0.368661
6980000 0.367872
6990000 0.367382
7000000 0.3666
7010000 0.365668
7020000 0.364788
7030000 0.364278
7040000 0.363236
7050000 0.362054
7060000 0.361706
7070000 0.360914
7080000 0.359564
7090000 0.359187
7100000 0.35824
7110000 0.357084
7120000 0.356855
7130000 0.356
7140000 0.354878
7150000 0.353809
7160000 0.353264
7170000 0.35209
7180000 0.350636
7190000 0.350292
7200000 0.348937
7210000 0.34791
7220000 0.346839
7230000 0.346231
7240000 0.345381
7250000 0.344318
7260000 0.342938
7270000 0.342487
7280000 0.340898
7290000 0.340249
7300000 0.338913
7310000 0.336961
7320000 0.336741
7330000 0.335432
7340000 0.334263
7350000 0.332942
7360000 0.332009
7370000 0.330664
7380000 0.329643
7390000 0.328627
7400000 0.327443
7410000 0.325989
7420000 0.32525
7430000 0.323722
7440000 0.322691
7450000 0.321583
7460000 0.319874
7470000 0.318459
7480000 0.317072
7490000 0.31616
7500000 0.314322
7510000 0.312692
7520000 0.311845
7530000 0.310205
7540000 0.309135
7550000 0.307573
7560000 0.306344
7570000 0.305164
7580000 0.303715
7590000 0.302011
7600000 0.301169
7610000 0.298978
7620000 0.297564
7630000 0.296589
7640000 0.294679
7650000 0.292829
7660000 0.292009
7670000 0.289933
7680000 0.288982
7690000 0.287578
7700000 0.28526
7710000 0.28427
7720000 0.282193
7730000 0.280437
7740000 0.279085
7750000 0.276765
7760000 0.275859
7770000 0.273949
7780000 0.272545
7790000 0.27117
7800000 0.269134
